"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"01.11.2025";"13:00:00";"Samstag";"1012";"Spieltag 3";"VC Altenburg I";"SWE Volley-Team III";"SVV Weimar e.V. I";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"01.11.2025";"13:00:00";"Samstag";"1013";"Spieltag 3";"VC Altenburg I";"SVV Weimar e.V. I";"SWE Volley-Team III";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"01.11.2025";"13:00:00";"Samstag";"1016";"Spieltag 3";"SV 1860 Oberweißbach";"SG  ERFURT electronic II";"VfB 91 Suhl II";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"01.11.2025";"13:00:00";"Samstag";"1017";"Spieltag 3";"SV 1860 Oberweißbach";"VfB 91 Suhl II";"SG  ERFURT electronic II";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"01.11.2025";"14:00:00";"Samstag";"1014";"Spieltag 3";"Geraer VC I";"VV70 Meiningen I";"1. VSV Jena II";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"01.11.2025";"14:00:00";"Samstag";"1015";"Spieltag 3";"Geraer VC I";"1. VSV Jena II";"VV70 Meiningen I";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1018";"Spieltag 4";"SG  ERFURT electronic II";"VfB 91 Suhl II";"SVV Weimar e.V. I";"SG  ERFURT electronic II";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1019";"Spieltag 4";"SG  ERFURT electronic II";"SVV Weimar e.V. I";"VfB 91 Suhl II";"SG  ERFURT electronic II";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1020";"Spieltag 4";"Volleyball Gemeinschaft Bleicherode 1";"VV70 Meiningen I";"Geraer VC I";"Volleyball Gemeinschaft Bleicherode 1";"Georgenberg-SH (95752 Bleicherode)";"Georgenberg-SH (95752 Bleicherode)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1021";"Spieltag 4";"Volleyball Gemeinschaft Bleicherode 1";"Geraer VC I";"VV70 Meiningen I";"Volleyball Gemeinschaft Bleicherode 1";"Georgenberg-SH (95752 Bleicherode)";"Georgenberg-SH (95752 Bleicherode)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1022";"Spieltag 4";"SWE Volley-Team III";"SV 1860 Oberweißbach";"1. VSV Jena II";"SWE Volley-Team III";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"15.11.2025";"11:00:00";"Samstag";"1023";"Spieltag 4";"SWE Volley-Team III";"1. VSV Jena II";"SV 1860 Oberweißbach";"SWE Volley-Team III";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"22.11.2025";"13:00:00";"Samstag";"1028";"Spieltag 5";"SV 1860 Oberweißbach";"SVV Weimar e.V. I";"Volleyball Gemeinschaft Bleicherode 1";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"22.11.2025";"13:00:00";"Samstag";"1029";"Spieltag 5";"SV 1860 Oberweißbach";"Volleyball Gemeinschaft Bleicherode 1";"SVV Weimar e.V. I";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"22.11.2025";"13:01:00";"Samstag";"1027";"Spieltag 5";"VC Altenburg I";"SG  ERFURT electronic II";"Geraer VC I";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"22.11.2025";"13:02:00";"Samstag";"1026";"Spieltag 5";"VC Altenburg I";"Geraer VC I";"SG  ERFURT electronic II";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"29.11.2025";"11:00:00";"Samstag";"1030";"Spieltag 6";"1. VSV Jena II";"Volleyball Gemeinschaft Bleicherode 1";"VC Altenburg I";"1. VSV Jena II";"SH Lobdeburgschule (07747 Jena)";"SH Lobdeburgschule (07747 Jena)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"29.11.2025";"11:00:00";"Samstag";"1031";"Spieltag 6";"1. VSV Jena II";"VC Altenburg I";"Volleyball Gemeinschaft Bleicherode 1";"1. VSV Jena II";"SH Lobdeburgschule (07747 Jena)";"SH Lobdeburgschule (07747 Jena)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"29.11.2025";"11:00:00";"Samstag";"1032";"Spieltag 6";"VV70 Meiningen I";"SWE Volley-Team III";"SG  ERFURT electronic II";"VV70 Meiningen I";"Multihalle Meiningen (98617 Meiningen)";"Multihalle Meiningen (98617 Meiningen)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"29.11.2025";"11:00:00";"Samstag";"1033";"Spieltag 6";"VV70 Meiningen I";"SG  ERFURT electronic II";"SWE Volley-Team III";"VV70 Meiningen I";"Multihalle Meiningen (98617 Meiningen)";"Multihalle Meiningen (98617 Meiningen)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
